127.0.0.1 - - [27/Mar/2019:11:36:18 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:36:32 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 11176
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:36:33 -0300] "GET /livraria/javax.faces.resource/logoxbox.png.xhtml;jsessionid=A572F0C6BBCC95BB3A4A83762C7CA0C6?ln=img HTTP/1.1" 200 3802
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:36:33 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml;jsessionid=A572F0C6BBCC95BB3A4A83762C7CA0C6?ln=javax.faces HTTP/1.1" 200 32188
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:36:38 -0300] "GET /livraria/livro.xhtml HTTP/1.1" 200 11174
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:36:38 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml;jsessionid=D30877AF780C79DD6E32914DB331E477?ln=javax.faces HTTP/1.1" 200 32188
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:36:38 -0300] "GET /livraria/javax.faces.resource/logoxbox.png.xhtml;jsessionid=D30877AF780C79DD6E32914DB331E477?ln=img HTTP/1.1" 200 3802
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:36:47 -0300] "POST /livraria/livro.xhtml;jsessionid=D30877AF780C79DD6E32914DB331E477 HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:36:54 -0300] "POST /livraria/livro.xhtml;jsessionid=D30877AF780C79DD6E32914DB331E477 HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:36:57 -0300] "POST /livraria/livro.xhtml;jsessionid=D30877AF780C79DD6E32914DB331E477 HTTP/1.1" 200 10853
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:37:13 -0300] "POST /livraria/livro.xhtml;jsessionid=D30877AF780C79DD6E32914DB331E477 HTTP/1.1" 200 11073
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:37:13 -0300] "GET /livraria/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 200 32188
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:37:13 -0300] "GET /livraria/javax.faces.resource/logoxbox.png.xhtml?ln=img HTTP/1.1" 200 3802
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:37:20 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 10540
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:37:24 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 10027
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:37:30 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 9515
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:37:32 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 9520
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:37:36 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [27/Mar/2019:11:37:36 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 377
